trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.5, 'e': 0.808385571779344}",20,0,-56.18842826132458,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.8070479470450775}",30,0,-41.974811606766124,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.8057085306740763}",25,9,-60.8162609351058,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.8043673178604065}",30,2,-156.9453463403856,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 3}",1
162,False,"{'a': 0.5, 'e': 0.8030243037787711}",25,11,-4.217690493299878,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.8016794835844054}",35,15,-35.11304969061525,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.8003328524129729}",20,0,-131.61637831004526,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.7989844053804586}",20,0,-49.49584476833005,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.7976341375830635}",25,0,-171.104258020065,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
167,False,"{'a': 0.5, 'e': 0.7962820440970974}",20,0,-60.81808682674611,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.7949281199788713}",20,9,-26.863074266759938,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.7935723602645888}",25,0,-90.55240461897428,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.7922147599702367}",25,6,-40.310537649904795,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.7908553140914757}",35,5,-132.0148432581864,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",1
172,False,"{'a': 0.5, 'e': 0.7894940176035289}",20,0,-136.09385821568796,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
173,False,"{'a': 0.5, 'e': 0.7881308654610711}",25,15,-8.242031948360001,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.7867658525981162}",35,0,-205.11414041333305,"{0: 22, 1: 1, 2: 8, 3: 1, 4: 3}",0
175,False,"{'a': 0.5, 'e': 0.7853989739279043}",25,0,-73.60491972447434,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.7840302243427878}",30,0,-84.45701624438979,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.7826595987141175}",20,0,-147.2465702392649,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
178,False,"{'a': 0.5, 'e': 0.7812870918921266}",20,0,10.350124901067622,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.7799126987058148}",20,0,-51.09581464783004,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.7785364139628317}",30,11,-58.97451685572078,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.7771582324493587}",35,18,6.226491678385234,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.7757781489299908}",25,0,-77.7845813864646,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
183,False,"{'a': 0.5, 'e': 0.7743961581476171}",25,0,-116.69323462443377,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
184,False,"{'a': 0.5, 'e': 0.7730122548233006}",20,0,-30.487083635898745,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
